,2018_19,2020_21
0,68,45
1,68,52
2,52,48
3,84,54
4,65,70
5,77,65
6,80,17
7,44,55
8,59,28
9,55,46
10,82,45
11,74,36
12,61,41
13,60,0
14,76,58
15,78,59
16,44,70
17,35,67
18,26,54
19,53,59
20,41,50
21,58,63
22,60,53
23,39,58
24,55,45
25,65,42
26,39,54
27,95,51
28,88,45
29,54,55
30,40,51
31,64,82
32,72,55
33,100,48
34,84,72
35,81,38
36,87,63
37,41,85
38,54,0
39,59,41
40,42,0
41,76,0
42,74,100
43,26,0
44,44,29
45,81,0
46,66,0
47,67,50
48,52,0
49,59,52
50,74,0
51,100,78

EUCLIDIAN DISTANCE
[[  0.         249.78991173]
 [249.78991173   0.        ]]